msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTP,client_browser,web_server,GET /index.html HTTP/1.1,0.01
2,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.025
3,HTTP,client_browser,web_server,GET /css/main.css HTTP/1.1,0.03
4,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.045
5,HTTP,client_browser,web_server,GET /js/app.js HTTP/1.1,0.05
6,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.065
7,HTTP,client_browser,web_server,GET /img/logo.png HTTP/1.1,0.07
8,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.09
9,HTTP,client_browser,web_server,GET /img/banner.jpg HTTP/1.1,0.1
10,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.15
11,HTTP,client_browser,web_server,GET /favicon.ico HTTP/1.1,0.16
12,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,0.175
13,HTTP,client_browser,web_server,GET /api/status HTTP/1.1,0.2
14,HTTP,web_server,client_browser,HTTP/1.1 200 OK,0.215
15,HTTP,client_browser,web_server,POST /login HTTP/1.1,0.5
16,HTTP,web_server,client_browser,HTTP/1.1 401 Unauthorized,0.52
17,HTTP,client_browser,web_server,POST /login HTTP/1.1,1
18,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.05
19,HTTP,client_browser,web_server,GET /dashboard HTTP/1.1,1.1
20,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.15
21,HTTP,client_browser,web_server,GET /api/user/profile HTTP/1.1,1.2
22,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.25
23,HTTP,client_browser,web_server,GET /css/dashboard.css HTTP/1.1,1.3
24,HTTP,web_server,client_browser,HTTP/1.1 304 Not Modified,1.32
25,HTTP,client_browser,web_server,GET /img/avatar_default.png HTTP/1.1,1.35
26,HTTP,web_server,client_browser,HTTP/1.1 200 OK,1.38
27,HTTP,client_browser,web_server,GET /products HTTP/1.1,2
28,HTTP,web_server,client_browser,HTTP/1.1 200 OK,2.05
29,HTTP,client_browser,web_server,GET /api/products?page=1 HTTP/1.1,2.1
30,HTTP,web_server,client_browser,HTTP/1.1 200 OK,2.2
31,HTTP,client_browser,web_server,GET /img/prod_101.jpg HTTP/1.1,2.25
32,HTTP,web_server,client_browser,HTTP/1.1 200 OK,2.3
33,HTTP,client_browser,web_server,GET /img/prod_102.jpg HTTP/1.1,2.31
34,HTTP,web_server,client_browser,HTTP/1.1 200 OK,2.36
35,HTTP,client_browser,web_server,GET /img/prod_103.jpg HTTP/1.1,2.32
36,HTTP,web_server,client_browser,HTTP/1.1 200 OK,2.37
37,HTTP,client_browser,web_server,GET /img/prod_104.jpg HTTP/1.1,2.33
38,HTTP,web_server,client_browser,HTTP/1.1 200 OK,2.38
39,HTTP,client_browser,web_server,GET /products/101 HTTP/1.1,3
40,HTTP,web_server,client_browser,HTTP/1.1 200 OK,3.05
41,HTTP,client_browser,web_server,POST /api/cart/add HTTP/1.1,3.5
42,HTTP,web_server,client_browser,HTTP/1.1 200 OK,3.55
43,HTTP,client_browser,web_server,GET /products/102 HTTP/1.1,4
44,HTTP,web_server,client_browser,HTTP/1.1 200 OK,4.05
45,HTTP,client_browser,web_server,POST /api/cart/add HTTP/1.1,4.2
46,HTTP,web_server,client_browser,HTTP/1.1 200 OK,4.25
47,HTTP,client_browser,web_server,GET /cart HTTP/1.1,5
48,HTTP,web_server,client_browser,HTTP/1.1 200 OK,5.05
49,HTTP,client_browser,web_server,GET /api/cart/items HTTP/1.1,5.1
50,HTTP,web_server,client_browser,HTTP/1.1 200 OK,5.15
51,HTTP,client_browser,web_server,POST /api/cart/update/101 HTTP/1.1,6
52,HTTP,web_server,client_browser,HTTP/1.1 200 OK,6.05
53,HTTP,client_browser,web_server,GET /checkout HTTP/1.1,7
54,HTTP,web_server,client_browser,HTTP/1.1 200 OK,7.05
55,HTTP,client_browser,web_server,GET /js/checkout.js HTTP/1.1,7.1
56,HTTP,web_server,client_browser,HTTP/1.1 200 OK,7.15
57,HTTP,client_browser,web_server,POST /api/validate_address HTTP/1.1,8
58,HTTP,web_server,client_browser,HTTP/1.1 200 OK,8.1
59,HTTP,client_browser,web_server,POST /api/shipping_calc HTTP/1.1,8.2
60,HTTP,web_server,client_browser,HTTP/1.1 200 OK,8.3
61,HTTP,client_browser,web_server,POST /api/order/place HTTP/1.1,9
62,HTTP,web_server,client_browser,HTTP/1.1 200 OK,9.5
63,HTTP,client_browser,web_server,GET /order/confirmation HTTP/1.1,9.6
64,HTTP,web_server,client_browser,HTTP/1.1 200 OK,9.65
65,HTTP,client_browser,web_server,GET /api/recommendations HTTP/1.1,10
66,HTTP,web_server,client_browser,HTTP/1.1 200 OK,10.1
67,HTTP,client_browser,web_server,GET /about HTTP/1.1,12
68,HTTP,web_server,client_browser,HTTP/1.1 200 OK,12.05
69,HTTP,client_browser,web_server,GET /contact HTTP/1.1,12.5
70,HTTP,web_server,client_browser,HTTP/1.1 200 OK,12.55
71,HTTP,client_browser,web_server,POST /api/contact_form HTTP/1.1,13
72,HTTP,web_server,client_browser,HTTP/1.1 200 OK,13.1
73,HTTP,client_browser,web_server,GET /blog HTTP/1.1,15
74,HTTP,web_server,client_browser,HTTP/1.1 200 OK,15.05
75,HTTP,client_browser,web_server,GET /blog/post-1 HTTP/1.1,15.2
76,HTTP,web_server,client_browser,HTTP/1.1 200 OK,15.25
77,HTTP,client_browser,web_server,GET /img/blog_hero.jpg HTTP/1.1,15.3
78,HTTP,web_server,client_browser,HTTP/1.1 200 OK,15.35
79,HTTP,client_browser,web_server,POST /api/blog/comment HTTP/1.1,16
80,HTTP,web_server,client_browser,HTTP/1.1 403 Forbidden,16.05
81,HTTP,client_browser,web_server,GET /admin HTTP/1.1,18
82,HTTP,web_server,client_browser,HTTP/1.1 302 Found,18.05
83,HTTP,client_browser,web_server,GET /login?redirect=/admin HTTP/1.1,18.1
84,HTTP,web_server,client_browser,HTTP/1.1 200 OK,18.15
85,HTTP,client_browser,web_server,GET /search?q=test HTTP/1.1,20
86,HTTP,web_server,client_browser,HTTP/1.1 200 OK,20.1
87,HTTP,client_browser,web_server,GET /search?q=missing HTTP/1.1,20.5
88,HTTP,web_server,client_browser,HTTP/1.1 404 Not Found,20.6
89,HTTP,client_browser,web_server,HEAD /status HTTP/1.1,25
90,HTTP,web_server,client_browser,HTTP/1.1 200 OK,25.02
91,HTTP,client_browser,web_server,OPTIONS /api/data HTTP/1.1,25.1
92,HTTP,web_server,client_browser,HTTP/1.1 204 No Content,25.12
93,HTTP,client_browser,web_server,GET /sitemap.xml HTTP/1.1,30
94,HTTP,web_server,client_browser,HTTP/1.1 200 OK,30.1
95,HTTP,client_browser,web_server,GET /robots.txt HTTP/1.1,30.2
96,HTTP,web_server,client_browser,HTTP/1.1 200 OK,30.25
